Date,Open,High,Low,Close,Tickvol,Vol,Spread
2018.01.02,14.68,15.01,14.68,15.01,40659,33461700,1
2018.01.03,14.96,15.16,14.85,15.15,41432,55940900,1
2018.01.04,15.22,15.38,15.07,15.17,39460,36955600,1
2018.01.05,15.15,15.29,15.03,15.26,37542,26958200,1
2018.01.08,15.18,15.45,15.16,15.45,36507,28400000,1
2018.01.09,15.45,15.56,15.38,15.45,36870,35070900,1
2018.01.10,15.35,15.46,15.21,15.24,39287,28547700,1
2018.01.11,15.31,15.69,15.27,15.65,33206,37921500,1
2018.01.12,15.45,15.79,15.44,15.69,37013,45912100,1
2018.01.15,15.71,15.82,15.55,15.74,28420,28945400,1
2018.01.16,15.74,16.18,15.69,16.01,40192,58618300,1
2018.01.17,16.25,16.65,16.15,16.65,60326,58488900,1
2018.01.18,16.64,16.81,16.26,16.53,47056,48575800,1
2018.01.19,16.61,16.71,16.35,16.56,29769,33470200,1
2018.01.22,16.56,16.75,16.41,16.75,28838,33920000,1
2018.01.23,16.69,16.74,16.33,16.59,38017,39832200,1
2018.01.24,16.71,17.80,16.71,17.54,63308,89768200,1
2018.01.26,17.79,18.12,17.32,18.08,90988,81989500,1
2018.01.29,17.84,18.18,17.75,18.00,47290,55726200,1
2018.01.30,17.93,17.93,17.56,17.68,49173,46203000,1
2018.01.31,17.90,18.08,17.85,17.87,46857,41576600,1
2018.02.01,17.92,18.70,17.92,18.61,58838,51950200,1
2018.02.02,18.41,18.52,18.00,18.11,43520,50657800,1
2018.02.05,17.82,18.11,17.27,17.27,38718,62268600,1
2018.02.06,16.92,18.13,16.89,18.13,62148,74142800,1
2018.02.07,18.11,18.34,17.56,17.63,40481,61910300,1
2018.02.08,17.73,17.90,17.05,17.28,41561,51115100,1
2018.02.09,17.26,17.59,16.79,17.02,69747,68727600,1
2018.02.14,17.24,17.56,17.20,17.46,38379,43402800,1
2018.02.15,17.69,17.72,17.39,17.60,42124,31978000,1
2018.02.16,17.65,17.76,17.51,17.61,34110,34736300,1
2018.02.19,17.73,18.23,17.73,18.18,24203,40923300,1
2018.02.20,18.03,18.88,17.98,18.54,46265,67418700,1
2018.02.21,18.67,18.94,18.37,18.37,48216,55330000,1
2018.02.22,18.67,18.88,18.63,18.81,35539,38170900,1
2018.02.23,19.00,19.17,18.70,19.16,36636,55755600,1
2018.02.26,19.41,19.67,19.39,19.52,45046,48160500,1
2018.02.27,19.47,19.82,19.35,19.50,45582,42912500,1
2018.02.28,19.62,19.74,19.21,19.46,37165,66229400,1
2018.03.01,19.41,19.46,18.83,19.07,54654,66380900,1
2018.03.02,18.77,19.51,18.60,19.51,46144,52682900,1
2018.03.05,19.49,20.11,19.37,20.06,47990,54242600,1
2018.03.06,20.41,20.52,19.83,19.86,55033,57240800,1
2018.03.07,19.67,19.93,19.38,19.65,50183,50956600,1
2018.03.08,19.82,19.84,19.34,19.68,33812,36156800,1
2018.03.09,19.75,20.31,19.58,20.31,47304,45559600,1
2018.03.12,20.44,20.49,20.16,20.25,36759,31898800,1
2018.03.13,20.36,20.44,20.01,20.05,33349,34577100,1
2018.03.14,20.23,20.35,20.03,20.30,31702,31736300,1
2018.03.15,20.00,20.12,19.33,19.33,70886,80537400,1
2018.03.16,19.47,19.72,19.25,19.44,39176,57693400,1
2018.03.19,19.29,19.37,18.92,18.98,46121,41972700,1
2018.03.20,19.21,19.42,19.15,19.19,28673,29947100,1
2018.03.21,19.27,20.03,19.23,20.00,56469,52800100,1
2018.03.22,19.83,19.99,19.57,19.70,58292,49835500,1
2018.03.23,19.60,20.05,19.53,19.73,53303,52721600,1
2018.03.26,20.02,20.13,19.81,19.98,31055,29809800,1
2018.03.27,20.08,20.12,19.38,19.45,36666,43372500,1
2018.03.28,19.28,19.42,19.04,19.23,44962,38393400,1
2018.03.29,19.28,19.55,19.25,19.42,33808,34136800,1
2018.04.02,19.37,19.46,18.84,18.96,33087,36980200,1
2018.04.03,19.15,19.22,18.74,18.78,35561,39091000,1
2018.04.04,18.42,18.68,18.24,18.48,41803,58094700,1
2018.04.05,19.18,19.35,19.07,19.18,49256,88446900,1
2018.04.06,19.03,19.30,18.89,19.30,49133,47772400,1
2018.04.09,19.44,19.45,18.62,18.62,41153,43996500,1
2018.04.10,18.96,19.51,18.83,19.41,49864,58374200,1
2018.04.11,19.36,19.86,19.35,19.77,56034,62164500,1
2018.04.12,19.76,19.90,19.66,19.66,29745,36147600,1
2018.04.13,19.63,19.72,19.10,19.23,45816,43059900,1
2018.04.16,19.09,19.26,18.68,18.70,42581,48221900,1
2018.04.17,18.77,19.12,18.70,19.07,44728,36465400,1
2018.04.18,19.36,19.84,19.33,19.77,69623,65080200,1
2018.04.19,20.02,20.32,19.89,20.13,57796,62395100,1
2018.04.20,20.01,20.37,19.86,20.28,47115,61382900,1
2018.04.23,20.03,20.39,19.90,20.39,43784,36897900,1
2018.04.24,20.50,20.65,20.16,20.32,34344,46316200,1
2018.04.25,19.96,20.07,19.65,19.71,54911,67770900,1
2018.04.26,19.95,20.52,19.93,20.52,57038,56422000,1
2018.04.27,20.72,20.80,20.55,20.60,42190,37602000,1
2018.04.30,20.62,20.88,20.52,20.83,22721,23517000,1
2018.05.02,20.56,20.80,20.42,20.50,32120,31483100,1
2018.05.03,20.44,20.53,19.93,20.36,37667,48691900,1
2018.05.04,20.36,20.53,20.20,20.20,26019,33043000,1
2018.05.07,20.47,21.01,20.40,20.54,46544,47698500,1
2018.05.08,20.91,21.00,20.42,20.78,51149,80985700,1
2018.05.09,21.13,22.49,21.06,22.47,138916,117656900,1
2018.05.10,22.80,24.03,22.60,23.35,147327,126703100,1
2018.05.11,23.43,23.86,23.06,23.07,67826,72655200,1
2018.05.14,23.45,24.02,23.41,23.80,60121,66340900,1
2018.05.15,23.90,24.40,23.48,24.30,67222,74812300,1
2018.05.16,24.37,24.97,24.34,24.84,59990,64232500,1
2018.05.17,24.81,25.03,23.10,23.54,93190,111833400,1
2018.05.18,22.68,23.74,22.64,23.26,83111,82994600,1
2018.05.21,23.67,23.84,22.62,22.72,70438,75172600,1
2018.05.22,22.54,22.98,21.94,22.45,96976,87879800,1
2018.05.23,22.01,22.24,21.14,21.14,76054,73484300,1
2018.05.24,18.22,18.85,17.85,18.24,228869,241524200,1
2018.05.25,18.76,19.32,17.86,17.99,127644,130298100,1
2018.05.28,17.44,17.44,15.36,15.36,134607,132651200,1
2018.05.29,16.35,17.66,15.99,17.53,203972,180973600,1
2018.05.30,16.71,18.14,16.47,17.24,120650,124906400,1
2018.06.01,17.77,17.94,13.54,14.68,215392,215137900,1
2018.06.04,15.71,16.03,15.49,15.93,87866,93056900,1
2018.06.05,15.77,16.17,15.07,15.07,64823,65841100,1
2018.06.06,14.96,15.15,14.42,14.84,70140,69021200,1
2018.06.07,14.54,14.68,13.56,14.32,87980,118272100,1
2018.06.08,14.36,14.71,13.68,13.85,91974,90913600,1
2018.06.11,14.08,14.35,13.75,14.00,43556,44465300,1
2018.06.12,14.06,14.25,13.85,14.05,75127,69151200,1
2018.06.13,14.01,14.08,13.39,13.78,57019,71673700,1
2018.06.14,13.93,14.13,13.67,13.72,49588,56966700,1
2018.06.15,13.65,13.69,13.15,13.60,72510,74417900,1
2018.06.18,13.42,13.53,13.17,13.17,40681,46784900,1
2018.06.19,12.96,14.28,12.87,14.01,75685,97028900,1
2018.06.20,14.39,14.97,14.35,14.73,81731,87951600,1
2018.06.21,14.62,14.83,13.72,13.72,51535,67488800,1
2018.06.22,14.00,14.25,13.64,13.73,39478,51930100,1
2018.06.25,13.81,14.35,13.68,14.26,46603,59891200,1
2018.06.26,14.45,14.65,14.11,14.57,51138,59331000,1
2018.06.27,14.63,15.43,14.59,15.04,68311,77888500,1
2018.06.28,15.19,15.51,14.84,15.08,79005,94451800,1
2018.06.29,15.31,15.62,15.20,15.62,54058,75132900,1
2018.07.02,15.44,15.88,15.35,15.87,46529,54211100,1
2018.07.03,16.12,16.25,15.86,15.90,50697,56569500,1
2018.07.04,15.79,16.76,15.66,16.76,32576,55067500,1
2018.07.05,16.90,17.08,16.04,16.23,66503,75576300,1
2018.07.06,16.33,16.44,16.04,16.30,26386,33645400,1
2018.07.10,16.66,16.67,15.94,16.13,44716,70524300,1
2018.07.11,15.89,16.43,15.72,15.82,49903,86396700,1
2018.07.12,16.01,16.37,15.92,16.31,43456,49099400,1
2018.07.13,16.34,16.52,16.15,16.45,45456,44811600,1
2018.07.16,16.31,16.34,15.99,16.24,65599,62439300,1
2018.07.17,16.16,16.72,16.09,16.62,42578,40458300,1
2018.07.18,16.58,16.72,16.30,16.40,30860,40284500,1
2018.07.19,16.21,16.72,16.12,16.72,34781,59345200,1
2018.07.20,17.42,17.70,17.20,17.53,90641,97664400,1
2018.07.23,17.53,17.69,17.45,17.50,39138,34974300,1
2018.07.24,17.78,18.05,17.74,17.86,28534,39765000,1
2018.07.25,17.99,18.17,17.82,18.13,36254,48457400,1
2018.07.26,18.12,18.12,17.60,17.63,30637,47894000,1
2018.07.27,17.81,18.00,17.76,17.96,30065,36322700,1
2018.07.30,18.12,18.26,17.90,18.07,27271,36946100,1
2018.07.31,17.83,17.98,17.69,17.92,29471,38516200,1
2018.08.01,17.80,18.18,17.75,18.18,33919,38658100,1
2018.08.02,18.16,18.88,18.12,18.54,58444,68110200,1
2018.08.03,19.44,19.58,19.16,19.18,74957,86090700,1
2018.08.06,19.22,19.51,19.06,19.12,51736,44136900,1
2018.08.07,19.38,19.50,18.69,18.82,61353,68345100,1
2018.08.08,18.91,19.14,18.28,18.30,51376,57509600,1
2018.08.09,18.41,18.49,17.99,18.48,52604,50904200,1
2018.08.10,18.26,18.31,17.59,17.80,70415,61439400,1
2018.08.13,17.72,18.21,17.51,18.21,51657,58056200,1
2018.08.14,18.46,18.49,17.96,18.19,44375,54962900,1
2018.08.15,17.88,17.91,17.34,17.34,84782,65009200,1
2018.08.16,17.59,17.62,17.09,17.25,46200,50945200,1
2018.08.17,17.07,17.17,16.75,16.81,57901,68030100,1
2018.08.20,16.72,16.85,16.47,16.72,63191,55914000,1
2018.08.21,16.63,16.87,16.07,16.13,57852,68395700,1
2018.08.22,16.11,16.73,16.07,16.71,44230,56361400,1
2018.08.23,16.71,16.86,16.28,16.34,43141,56116900,1
2018.08.24,16.71,16.79,16.43,16.66,30519,37715400,1
2018.08.27,16.76,17.08,16.66,17.03,26994,35272500,1
2018.08.28,17.08,17.16,16.70,16.71,30751,37724000,1
2018.08.29,16.84,17.58,16.80,17.57,56352,71078300,1
2018.08.30,17.43,17.79,17.01,17.12,52392,63693300,1
2018.08.31,17.25,17.69,17.22,17.53,55276,75441300,1
2018.09.03,17.29,17.42,17.08,17.30,22984,25185500,1
2018.09.04,17.42,17.47,16.95,16.98,35511,39538900,1
2018.09.05,16.90,17.12,16.60,16.98,40466,53709300,1
2018.09.06,17.29,17.32,16.82,17.29,37719,51423800,1
2018.09.10,17.63,17.84,17.34,17.53,43244,57854600,1
2018.09.11,17.18,17.20,16.78,16.84,49196,56093700,1
2018.09.12,17.13,17.50,16.97,17.25,48980,59497600,1
2018.09.13,17.33,17.42,16.95,17.03,37379,36484700,1
2018.09.14,17.12,17.26,16.82,17.11,57459,55539800,1
2018.09.17,16.96,17.74,16.96,17.66,50736,71081100,1
2018.09.18,17.75,18.44,17.73,18.44,62323,72439500,1
2018.09.19,18.14,18.63,18.05,18.19,44383,60349100,1
2018.09.20,18.45,18.53,17.98,18.09,37040,56002300,1
2018.09.21,18.35,18.48,18.16,18.34,48704,58278000,1
2018.09.24,18.39,18.58,18.14,18.21,42851,54074100,1
