<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	3306.000	3306.000	3268.500	3270.500	160351	571300	500
2018.01.03	3263.000	3277.500	3244.000	3247.500	215426	726808	500
2018.01.04	3244.500	3254.000	3232.500	3246.000	189632	656971	500
2018.01.05	3245.000	3259.500	3236.500	3239.500	185811	643249	500
2018.01.08	3242.000	3255.000	3235.000	3251.000	175565	598470	500
2018.01.09	3255.000	3265.500	3239.500	3259.500	223033	761238	500
2018.01.10	3263.500	3265.500	3236.000	3238.000	239035	822685	500
2018.01.11	3241.500	3245.500	3220.000	3223.000	201471	702800	500
2018.01.12	3228.500	3236.500	3206.500	3213.500	246590	839971	500
2018.01.15	3205.000	3226.500	3199.000	3223.500	153984	543552	500
2018.01.16	3222.000	3244.000	3219.000	3230.500	238655	846385	500
2018.01.17	3236.500	3245.000	3218.500	3230.500	206612	725424	500
2018.01.18	3227.000	3231.000	3208.000	3212.500	224978	798273	500
2018.01.19	3213.000	3219.500	3199.500	3201.000	169755	627052	500
2018.01.22	3198.000	3216.000	3188.500	3207.000	193402	700526	500
2018.01.23	3214.500	3248.500	3212.500	3241.500	246735	886656	500
2018.01.24	3230.500	3235.000	3138.500	3150.000	292961	1125402	500
2018.01.26	3135.000	3158.500	3123.000	3155.000	285034	1106164	500
2018.01.29	3162.000	3173.500	3155.500	3157.500	225141	793991	500
2018.01.30	3157.500	3196.500	3149.500	3182.000	257002	961415	500
2018.01.31	3177.500	3205.000	3155.500	3196.000	275807	1024345	500
2018.02.01	3203.000	3206.500	3171.500	3177.500	269031	978711	500
2018.02.02	3198.500	3233.000	3193.000	3230.500	279038	982405	500
2018.02.05	3224.500	3283.000	3223.000	3272.000	275761	965585	500
2018.02.06	3267.000	3287.000	3241.500	3243.000	390639	1362386	500
2018.02.07	3259.000	3292.000	3246.000	3280.000	313154	970110	500
2018.02.08	3284.500	3310.500	3264.000	3293.500	374477	1311694	500
