Date,Open,High,Low,Close,TickVol,Vol,Spread
2017.01.02,21.10,21.27,20.91,20.91,3538,1118500,1
2017.01.03,21.29,21.84,21.20,21.84,15415,5658500,1
2017.01.04,21.75,21.89,21.16,21.45,5459,2144400,1
2017.01.05,21.68,22.45,21.52,22.27,11824,4031600,1
2017.01.06,21.94,22.19,21.58,21.67,9856,4213500,1
2017.01.09,21.95,22.41,21.92,22.12,9075,3407800,1
2017.01.10,22.88,23.82,22.88,23.82,10476,3606500,1
2017.01.11,24.04,24.36,23.64,24.31,10971,3499900,1
2017.01.12,25.10,25.39,24.80,25.10,15539,5500500,1
2017.01.13,24.95,26.04,24.79,25.86,11025,5410000,1
2017.01.16,26.04,26.80,26.04,26.56,4900,2018500,1
2017.01.17,26.06,26.12,25.45,25.51,16221,5968500,1
2017.01.18,25.33,27.28,25.33,26.80,35146,14846300,1
2017.01.19,26.71,26.72,25.90,26.26,15877,5303100,1
2017.01.20,25.86,27.07,25.83,26.79,14128,6309700,1
2017.01.23,26.88,27.94,26.86,27.80,13291,4369600,1
2017.01.24,28.43,28.98,27.77,28.48,15806,5373900,1
2017.01.26,28.73,28.90,28.04,28.04,12964,5274700,1
2017.01.27,27.94,28.54,27.88,28.13,9550,3244000,1
2017.01.30,27.72,27.95,26.82,26.92,11391,3136800,1
2017.01.31,27.29,27.50,26.80,26.86,10247,4067300,1
2017.02.01,27.29,27.97,27.27,27.45,18334,5928500,1
2017.02.02,27.05,27.91,27.05,27.26,13456,4024400,1
2017.02.03,26.71,26.71,25.36,25.55,22795,6833500,1
2017.02.06,25.59,25.68,24.93,24.97,13227,3554600,1
2017.02.07,25.57,26.15,25.10,25.24,15356,4297100,1
2017.02.08,25.70,25.72,25.07,25.53,11605,3867100,1
2017.02.09,25.47,26.16,25.25,25.94,11557,4011900,1
2017.02.10,26.84,27.37,26.79,27.37,17642,5036400,1
2017.02.13,28.55,29.92,28.39,29.89,32235,11344600,1
2017.02.14,29.65,29.68,28.40,28.71,14905,4651000,1
2017.02.15,28.96,29.00,28.12,28.23,18857,6626600,1
2017.02.16,28.19,28.74,28.06,28.18,8825,5231900,1
2017.02.17,28.05,28.63,27.87,28.43,11048,5909200,1
2017.02.20,29.95,30.51,29.86,30.40,13190,6047300,1
2017.02.21,30.75,31.11,29.44,29.66,22375,6307900,1
2017.02.22,29.49,29.49,28.40,28.95,20631,6845300,1
2017.02.23,29.37,29.42,27.37,27.68,27902,12566100,1
2017.02.24,26.83,28.30,26.71,27.31,24904,9984400,1
2017.03.01,27.58,27.86,27.42,27.68,12537,3262200,1
2017.03.02,27.79,28.04,26.16,26.26,24921,6860100,1
2017.03.03,26.61,26.95,26.17,26.56,13365,6887300,1
2017.03.06,26.21,26.38,25.60,25.96,14659,6393900,1
2017.03.07,26.03,26.60,25.70,25.81,16959,6653500,1
2017.03.08,26.06,26.16,24.90,25.14,11855,5789100,1
2017.03.09,24.58,25.52,24.26,25.19,21362,8743900,1
2017.03.10,25.59,25.89,24.75,24.75,13961,5574100,1
2017.03.13,25.65,26.19,25.62,25.88,13555,5769000,1
2017.03.14,25.66,26.29,25.28,26.01,14242,4090300,1
2017.03.15,26.63,27.81,26.35,27.81,20908,7371000,1
2017.03.16,28.06,28.24,26.94,27.15,12211,4526300,1
2017.03.17,27.28,27.35,26.12,26.12,24876,14666000,1
2017.03.20,26.00,26.61,25.79,26.40,9278,3235400,1
2017.03.21,25.78,25.85,24.16,24.24,20481,6492000,1
2017.03.22,23.74,25.10,23.61,24.54,25436,7011400,1
2017.03.23,24.24,24.73,23.73,24.40,23456,7072000,1
2017.03.24,24.62,24.63,23.83,24.20,11252,3909200,1
2017.03.27,23.36,24.72,22.74,24.53,16544,6832700,1
2017.03.28,24.76,25.04,24.50,24.88,15467,4454900,1
2017.03.29,25.10,25.47,24.66,25.13,7684,3103500,1
2017.03.30,25.04,25.36,24.83,25.12,5621,2230800,1
2017.03.31,24.64,25.33,24.44,24.86,15068,4005200,1
2017.04.03,24.88,25.04,24.28,24.63,19536,4090000,1
2017.04.04,24.67,25.63,24.45,25.58,7412,2425400,1
2017.04.05,25.87,26.27,24.43,24.58,16991,6226300,1
2017.04.06,24.81,24.95,23.91,24.13,15544,5805900,1
2017.04.07,23.53,24.65,23.31,24.33,19187,7499600,1
2017.04.10,24.32,24.43,23.69,24.23,9123,3783200,1
2017.04.11,24.27,24.44,23.22,23.92,18280,5065100,1
2017.04.12,23.03,23.37,22.77,22.88,16419,6277800,1
2017.04.13,22.85,23.28,22.77,22.88,13140,4171300,1
2017.04.17,22.74,22.93,22.27,22.89,10882,5369600,1
2017.04.18,22.16,22.33,21.82,22.21,27377,7197300,1
2017.04.19,22.45,22.90,22.15,22.26,18025,6304100,1
2017.04.20,22.78,23.45,22.63,23.41,13437,4584900,1
2017.04.24,23.98,23.99,23.25,23.55,10452,3353300,1
