<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	77195	78420	76985	78300	8706	54460	5
2018.01.03	78385	78975	78055	78400	9429	57380	5
2018.01.04	78700	79700	78535	79150	12950	85490	5
2018.01.05	79500	79635	78690	79635	10098	60775	5
2018.01.08	79730	79915	79055	79825	9503	57335	5
2018.01.09	79750	79925	79100	79245	10838	67495	5
2018.01.10	78850	79025	78510	78700	9581	57025	5
2018.01.11	78605	79845	78540	79805	9007	53630	5
2018.01.12	79400	79900	79210	79690	10430	62555	5
2018.01.15	79885	80285	79690	80210	6760	42420	5
2018.01.16	80470	80645	79985	80195	10961	73280	5
2018.01.17	80115	81640	80045	81585	12979	76960	5
2018.01.18	81370	81715	80785	81200	11021	71190	5
2018.01.19	81400	81790	81140	81475	8082	52485	5
2018.01.22	81400	81985	81165	81885	8216	49940	5
2018.01.23	81890	81970	80750	80835	13984	86420	5
2018.01.24	81020	84170	81020	84050	21874	144975	5
2018.01.26	84560	85900	84120	85790	15552	103680	5
2018.01.29	85510	85620	84530	84795	10548	65785	5
2018.01.30	84295	84830	84005	84720	12288	77140	5
2018.01.31	84995	86400	84910	85230	13125	78020	5
2018.02.01	85450	86250	84840	85635	12490	82590	5
2018.02.02	84545	84865	83915	84265	14246	93750	5
2018.02.05	83580	84455	81550	81660	16619	105695	5
2018.02.06	81450	84465	80535	84340	26925	182190	5
2018.02.07	83920	84530	82545	83000	17554	106780	5
2018.02.08	82500	83590	81100	81300	18674	120225	5
2018.02.09	81480	82005	79655	80920	18614	125150	5
2018.02.14	83750	84740	83260	84425	10008	62990	5
2018.02.15	85230	85640	84825	85125	13469	77980	5
2018.02.16	85420	85505	84650	85490	10653	65555	5
2018.02.19	85780	85875	85395	85640	5250	30190	5
2018.02.20	85145	87195	85040	86710	16147	97525	5
2018.02.21	86605	88280	86505	86595	16303	96460	5
2018.02.22	87015	88035	86765	87590	14448	87615	5
2018.02.23	87995	88160	86860	88160	13064	77250	5
2018.02.26	88600	89160	88045	88495	12940	79145	5
2018.02.27	88190	88660	87380	87560	11343	67385	5
2018.02.28	87550	87955	86000	86035	19179	119810	5
2018.03.01	85735	87050	85290	86180	19453	121620	5
2018.03.02	85635	86605	84565	86510	14930	89765	5
2018.03.05	86300	86910	85685	86520	11803	67995	5
2018.03.06	87300	87665	86105	86105	13772	81665	5
2018.03.07	85675	86300	84990	86060	13911	83395	5
2018.03.08	86250	86435	85025	85620	13386	79415	5
2018.03.09	85405	87055	85360	86930	14380	86595	5
2018.03.12	87295	87695	87100	87400	9357	57515	5
2018.03.13	87615	87975	86600	87000	14052	83505	5
2018.03.14	87425	87585	86195	86480	13201	79335	5
2018.03.15	86510	86525	85165	85700	12485	75630	5
2018.03.16	85445	86020	84970	84970	10693	64510	5
2018.03.19	84585	85090	84065	84565	14131	84470	5
2018.03.20	84790	84920	84125	84655	11720	68770	5
2018.03.21	84475	85635	84390	85525	13379	81730	5
2018.03.22	85355	85945	84515	84600	22665	133175	5
2018.03.23	84290	85905	84200	85000	20384	125475	5
2018.03.26	85700	85935	84610	85750	13098	77850	5
2018.03.27	85985	86100	83790	83830	15096	95010	5
2018.03.28	83725	84325	83130	84100	14205	91270	5
2018.03.29	84570	86040	84320	85765	13155	83335	5
2018.04.02	85525	85960	84335	84990	14042	88690	5
2018.04.03	85315	85690	84395	84515	13452	83215	5
2018.04.04	83550	85000	82950	85000	16025	101930	5
2018.04.05	86380	86620	85170	85390	13999	87920	5
2018.04.06	84980	85350	83950	84925	16997	107505	5
2018.04.09	85450	85475	83215	83410	14482	89710	5
2018.04.10	83950	84800	83450	84800	14109	86245	5
2018.04.11	84365	85650	84165	85650	11825	71435	5
2018.04.12	85855	85870	85065	85440	8428	51840	5
2018.04.13	85545	85710	84070	84110	13335	86720	5
2018.04.16	84175	84665	82635	82635	14122	92205	5
2018.04.17	83000	84220	82660	84095	13163	80095	5
2018.04.18	85005	86880	85005	86215	15624	96990	5
2018.04.19	86525	86730	85850	86455	13938	88690	5
2018.04.20	86350	86595	85625	86595	9928	61690	5
2018.04.23	86295	86445	85315	86400	11941	76645	5
2018.04.24	86850	87290	85690	86105	15450	99590	5
2018.04.25	85800	85985	84900	85985	13920	88625	5
