<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	9.050	9.050	8.860	8.880	6624	204435	5
2018.01.03	8.880	8.900	8.830	8.850	6170	205620	5
2018.01.04	8.870	8.880	8.820	8.850	6248	234355	5
2018.01.05	8.870	8.930	8.860	8.900	6017	182670	5
2018.01.08	8.910	8.950	8.840	8.850	4550	125925	5
2018.01.09	8.870	8.910	8.830	8.890	5960	178690	5
2018.01.10	8.940	9.000	8.910	8.920	7176	241270	5
2018.01.11	8.920	8.970	8.870	8.880	7160	235665	5
2018.01.12	8.930	8.950	8.850	8.870	8104	211330	5
2018.01.15	8.860	8.900	8.820	8.900	2527	81515	5
2018.01.16	8.890	8.930	8.860	8.890	7361	252840	5
2018.01.17	8.890	8.940	8.880	8.930	5342	173345	5
2018.01.18	8.930	8.970	8.890	8.910	9806	282330	5
2018.01.19	8.890	8.950	8.880	8.920	4237	133420	5
2018.01.22	8.920	8.960	8.890	8.920	3447	130820	5
2018.01.23	8.920	9.000	8.920	9.000	5293	228370	5
2018.01.24	8.980	9.010	8.730	8.760	11206	364245	5
2018.01.26	8.720	8.770	8.690	8.730	12366	429250	5
2018.01.29	8.760	8.810	8.760	8.800	4017	157990	5
2018.01.30	8.800	8.840	8.780	8.820	4776	193990	5
2018.01.31	8.790	8.830	8.770	8.810	7172	245610	5
2018.02.01	8.820	8.860	8.790	8.820	7068	203815	5
2018.02.02	8.850	8.950	8.840	8.940	8807	294165	5
2018.02.05	8.940	8.970	8.920	8.940	5220	180040	5
2018.02.06	8.960	9.020	8.890	8.900	8877	295575	5
2018.02.07	8.910	8.910	8.830	8.830	6291	198990	5
2018.02.08	8.830	8.880	8.780	8.840	11615	332033	5
2018.02.09	8.810	8.920	8.790	8.850	9717	265555	5
2018.02.14	8.900	8.910	8.750	8.770	5519	152225	5
2018.02.15	8.730	8.760	8.700	8.730	6962	209195	5
2018.02.16	8.730	8.750	8.600	8.620	7260	273710	5
2018.02.19	8.630	8.660	8.600	8.600	4039	166485	5
2018.02.20	8.630	8.660	8.560	8.570	6699	230740	5
2018.02.21	8.580	8.590	8.530	8.580	3449	182780	5
2018.02.22	8.560	8.600	8.540	8.550	8511	268318	5
2018.02.23	8.510	8.560	8.470	8.530	8171	311005	5
2018.02.26	8.510	8.540	8.460	8.480	5016	170290	5
2018.02.27	8.480	8.520	8.430	8.510	7846	266020	5
2018.02.28	8.510	8.520	8.430	8.470	6317	203425	5
2018.03.01	8.470	8.500	8.420	8.430	6971	252990	5
2018.03.02	8.440	8.440	8.350	8.350	7206	248370	5
2018.03.05	8.360	8.360	8.250	8.270	6078	190890	5
2018.03.06	8.250	8.340	8.240	8.270	6845	224870	5
2018.03.07	8.300	8.320	8.260	8.280	5992	232480	5
2018.03.08	8.280	8.300	8.220	8.230	4905	241970	5
2018.03.09	8.250	8.300	8.240	8.260	5384	204150	5
2018.03.12	8.250	8.250	8.180	8.230	5312	266405	5
2018.03.13	8.240	8.260	8.160	8.190	5252	180005	5
2018.03.14	8.190	8.260	8.180	8.240	4546	210590	5
2018.03.15	8.250	8.300	8.220	8.230	6954	323145	5
2018.03.16	8.240	8.270	8.200	8.220	5737	162760	5
2018.03.19	8.230	8.250	8.190	8.250	3638	112595	5
2018.03.20	8.230	8.320	8.210	8.320	5942	267085	5
2018.03.21	8.310	8.330	8.210	8.230	5472	201450	5
2018.03.22	8.080	8.120	8.050	8.070	7617	340025	5
2018.03.23	8.080	8.130	8.030	8.050	6110	206460	5
2018.03.26	8.040	8.040	7.940	7.950	6148	244185	5
2018.03.27	7.950	8.010	7.930	7.980	5974	186690	5
2018.03.28	7.980	8.050	7.960	7.980	7237	225625	5
2018.03.29	8.000	8.040	7.930	7.990	5477	205850	5
2018.04.02	7.960	8.040	7.950	8.030	4331	171865	5
2018.04.03	8.030	8.100	7.980	8.090	5102	229900	5
2018.04.04	8.170	8.190	8.060	8.070	6553	233535	5
2018.04.05	7.980	8.060	7.980	8.050	8524	299435	5
2018.04.06	8.040	8.110	8.030	8.070	9045	209940	5
2018.04.09	8.090	8.170	8.090	8.170	7622	215590	5
2018.04.10	8.120	8.200	8.100	8.120	9369	336800	5
2018.04.11	8.150	8.150	8.060	8.060	6534	207925	5
2018.04.12	8.040	8.050	7.980	8.030	6427	240370	5
2018.04.13	7.990	8.040	7.970	8.000	12632	278945	5
2018.04.16	8.000	8.020	7.930	7.950	6831	178950	5
