<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2018.01.02;77040;78420;76980;78295;297839;1080758;5
2018.01.03;78400;78970;78060;78400;404557;1434381;5
2018.01.04;78620;79710;78505;79185;455394;1713874;5
2018.01.05;79440;79630;78685;79630;493642;1745350;5
2018.01.08;79800;79925;79050;79840;438556;1599762;5
2018.01.09;79730;79945;79100;79235;413844;1550791;5
2018.01.10;78880;79020;78510;78675;440123;1541018;5
2018.01.11;78540;79850;78530;79805;408070;1489910;5
2018.01.12;79375;79900;79220;79705;508288;1786159;5
2018.01.15;79800;80285;79675;80275;322591;1148909;5
2018.01.16;80470;80645;79975;80185;519084;1909216;5
2018.01.17;80150;81660;80030;81600;474080;1739927;5
2018.01.18;81425;81710;80780;81200;532209;1978489;5
2018.01.19;81395;81800;81130;81465;467770;1775389;5
2018.01.22;81405;81980;81170;81890;418649;1533177;5
2018.01.23;81850;81975;80735;80850;523780;1998592;5
2018.01.24;81050;84175;81040;84045;816046;2960548;5
2018.01.26;84600;85915;84105;85795;690175;2488563;5
2018.01.29;85525;85620;84520;84795;575980;2013621;5
2018.01.30;84300;84840;84010;84715;594317;2191461;5
2018.01.31;84960;86400;84800;85250;629450;2272753;5
2018.02.01;85450;86255;84825;85630;691627;2478074;5
2018.02.02;84600;84865;83900;84265;659758;2342964;5
2018.02.05;83770;84470;81450;81450;764563;2738113;5
2018.02.06;81450;84565;80530;84340;1107001;3381811;5
2018.02.07;83895;84540;82550;82965;833310;2676212;5
2018.02.08;82550;83585;81100;81325;916308;3307428;5
2018.02.09;81490;82000;79650;81000;1054212;3279742;5
2018.02.14;83820;84745;83275;84445;450493;1452192;5
2018.02.15;85210;85640;84820;85115;678993;2414022;5
2018.02.16;85405;85505;84650;85500;589027;2057725;5
2018.02.19;85750;85875;85390;85635;285887;961263;5
2018.02.20;85150;87200;85025;86725;669997;2579676;5
2018.02.21;86605;88280;86470;86600;689821;2462940;5
2018.02.22;87005;88050;86755;87545;730812;2561739;5
2018.02.23;88000;88150;86860;88150;690315;2520946;5
2018.02.26;88590;89155;88045;88495;624757;2223619;5
2018.02.27;88170;88665;87370;87570;551350;1922580;5
2018.02.28;87570;87955;86000;86030;712020;2724475;5
2018.03.01;85800;87050;85285;86185;946623;3483976;5
2018.03.02;85680;86600;84555;86500;795439;2817660;5
2018.03.05;86300;86915;85685;86530;657792;2282344;5
2018.03.06;87205;87665;86105;86105;728625;2607599;5
2018.03.07;85650;86295;84990;86050;678475;2460970;5
2018.03.08;86205;86500;85030;85620;706354;2575410;5
2018.03.09;85440;87060;85350;86930;648731;2352886;5
2018.03.12;87300;87695;87090;87330;534360;1998927;5
2018.03.13;87610;87975;86590;87000;703174;2879627;5
2018.03.14;87435;87585;86200;86480;648438;2703192;5
2018.03.15;86530;86535;85160;85700;548773;2161331;5
2018.03.16;85440;86025;84925;84925;667382;2620801;5
2018.03.19;84525;85090;84065;84585;692639;2689117;5
2018.03.20;84795;84920;84135;84605;653334;2375072;5
2018.03.21;84455;85840;84380;85550;658700;2422313;5
2018.03.22;85350;85950;84520;84580;861004;3423482;5
2018.03.23;84285;85915;84205;85005;1018429;3370838;5
2018.03.26;85720;85940;84615;85715;834989;2701365;5
2018.03.27;85995;86100;83775;83820;930668;3138529;5
2018.03.28;83770;84340;83135;84135;919572;3450785;5
2018.03.29;84555;86040;84315;85800;651429;2513819;5
2018.04.02;85410;85960;84370;84990;790791;3065116;5
2018.04.03;85290;85685;84390;84510;824227;3292039;5
2018.04.04;83580;84980;82940;84980;829576;3191611;5
2018.04.05;86400;86620;85165;85390;694527;2726890;5
2018.04.06;84965;85350;83960;84900;899746;3339770;5
2018.04.09;85470;85470;83210;83395;725319;2774830;5
2018.04.10;83925;84810;83445;84810;825604;2976078;5
2018.04.11;84385;85665;84155;85665;651466;2428194;5
2018.04.12;85805;85900;85060;85435;602693;2350419;5
2018.04.13;85600;85715;84065;84095;665031;2323399;5
2018.04.16;84215;84670;82630;82630;737162;2588150;5
2018.04.17;83045;84225;82660;84100;678204;2475839;5
2018.04.18;85030;86885;85000;86200;576530;2194019;5
2018.04.19;86500;86730;85845;86475;805111;2878371;5
2018.04.20;86360;86700;85630;86700;628217;2315178;5
2018.04.23;86300;86445;85315;86390;622566;2372142;5
2018.04.24;86850;87290;85685;86130;821115;3130767;5
2018.04.25;85575;86000;84895;86000;790285;2689647;5
2018.04.26;86100;87370;85830;87275;571709;2073121;5
2018.04.27;87170;87785;86820;86970;590688;2287263;5
2018.04.30;87150;87350;86250;86260;445233;1538926;5
2018.05.02;86130;86330;84875;84995;649214;2222572;5
2018.05.03;85080;85110;83605;83705;779851;2850462;5
2018.05.04;83820;84210;83100;83600;702698;2660767;5
2018.05.07;83700;84140;82960;82960;614044;2213883;5
2018.05.08;83020;83900;82580;83735;839708;2983798;5
2018.05.09;84050;84950;83200;84750;738824;2758771;5
2018.05.10;84895;86680;84675;86315;700158;2439952;5
2018.05.11;86445;86840;85505;85865;684722;2483642;5
2018.05.14;85930;86480;85005;85850;675800;2366838;5
2018.05.15;85430;85925;84105;85780;849116;3083356;5
2018.05.16;85605;87070;85210;86845;681944;2424757;5
2018.05.17;86430;86590;83580;83790;857828;3075646;5
2018.05.18;84190;84290;81625;83125;989594;3486539;5
2018.05.21;83690;84205;81825;82305;892165;3182286;5
2018.05.22;82450;83735;81775;82905;913642;3240027;5
2018.05.23;82010;82395;80980;81280;863036;2796710;5
2018.05.24;79660;80550;79115;80295;883044;2882820;5
2018.05.25;80325;80895;78745;79090;844580;2987883;5
2018.05.28;78440;78685;75110;75200;848551;2751010;5
2018.05.29;74845;77370;74815;75980;1203184;4032400;5
2018.05.30;76360;77295;75570;77280;1146286;3607826;5
2018.06.01;77580;78300;75425;77710;1087909;3531076;5
2018.06.04;78115;78770;77920;78590;851373;2805336;5
2018.06.05;78390;78945;76410;76550;958075;3278807;5
2018.06.06;76845;77075;75365;75560;1015154;3264996;5
2018.06.07;75750;76155;71060;74050;1362285;4164448;5
2018.06.08;73915;74115;71545;72870;1358330;3783625;5
2018.06.11;72920;73740;71830;72110;1010204;3120233;5
2018.06.12;72100;73350;71600;72910;887095;2755129;5
2018.06.13;73715;73995;71715;73075;952901;2980977;5
2018.06.14;73190;73445;71765;72075;961224;2968676;5
2018.06.15;71800;72095;70140;71140;874611;2839354;5
2018.06.18;70570;70980;69925;70395;755894;2252467;5
2018.06.19;69250;72780;69225;71950;935477;3117016;5
2018.06.20;72240;73180;71670;73000;892256;2795065;5
2018.06.21;72440;72700;70220;70220;801306;2544453;5
2018.06.22;70700;71650;70400;70965;697646;2227002;5
2018.06.25;70820;72165;70225;71995;848096;2737668;5
2018.06.26;71720;72180;70630;71750;931179;2620331;5
2018.06.27;72025;72505;70505;70815;894819;2633253;5
2018.06.28;70840;72640;70650;72260;846201;2721923;5
2018.06.29;72820;73470;72520;72805;734709;2207268;5
2018.07.02;72400;73615;72170;73615;576806;1745880;5
2018.07.03;73825;75020;73645;74110;689293;2321514;5
2018.07.04;74090;75385;73790;75385;528983;1746256;5
2018.07.05;75700;75825;74070;74810;823917;2655828;5
2018.07.06;74600;75670;74305;75600;692559;2099711;5
2018.07.10;75820;76200;74600;74600;735515;2402404;5
2018.07.11;74295;75445;74210;74965;764169;2558097;5
2018.07.12;75180;76495;75060;76495;659221;2113591;5
2018.07.13;76400;77195;75800;77030;611602;2057204;5
2018.07.16;76840;77270;76375;77170;611174;1996996;5
2018.07.17;77050;78890;76760;78410;672823;2153482;5
2018.07.18;78360;78765;77340;77400;672707;2213206;5
2018.07.19;77245;78900;76105;78900;843129;2574537;5
2018.07.20;79320;80335;78500;78585;848570;2469190;5
2018.07.23;78715;78865;78015;78085;701848;2167460;5
2018.07.24;79050;79790;78945;79340;727923;2274762;5
2018.07.25;79290;80715;79140;80480;759628;2529241;5
2018.07.26;80500;80670;79230;79850;813131;2593527;5
2018.07.27;80200;80495;79610;80250;705108;2259252;5
2018.07.30;80295;80685;79850;80400;565597;1951550;5
2018.07.31;80335;80440;79130;79300;674408;2241081;5
2018.08.01;79195;79895;78870;79420;686755;2350184;5
2018.08.02;78800;80075;78535;79980;652733;2259362;5
2018.08.03;80500;81935;80255;81530;707874;2560000;5
2018.08.06;81615;82095;80985;81035;621045;2117260;5
2018.08.07;81660;81890;79945;80700;811764;2871311;5
2018.08.08;80580;80980;78805;78840;827445;2704930;5
2018.08.09;78960;79480;78110;78705;761588;2408733;5
2018.08.10;78040;78345;76020;76400;920792;3003544;5
2018.08.13;76200;77925;75400;77820;966281;3086241;5
2018.08.14;78120;78770;77605;78400;833787;2619115;5
2018.08.15;78655;78655;77470;77515;870527;2510113;5
